date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:31:09	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2007%20Feb%202021%2018:31:10%20GMT	http://gtbucks.best/robots.txt		(from )
19:31:10	14121/14121	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2015:49:34%20GMT	http://gtbucks.best/	C:/My%20Web%20Sites/vbucks/gtbucks.best/index.html	(from )
19:31:10	673/673	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2014:46:32%20GMT	http://gtbucks.best/images/fav.html	C:/My%20Web%20Sites/vbucks/gtbucks.best/images/fav.html	(from http://gtbucks.best/)
19:31:10	757/757	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202020%2014:29:12%20GMT	http://gtbucks.best/images/css8a7c8a7c8a7c8a7c.css?family=Open+Sans:300,400,700	C:/My%20Web%20Sites/vbucks/gtbucks.best/images/css8a7c8a7c8a7c8a7c8a7c.css	(from http://gtbucks.best/)
19:31:11	27714/27714	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202020%2014:29:12%20GMT	http://gtbucks.best/images/font-awesome.min.css	C:/My%20Web%20Sites/vbucks/gtbucks.best/images/font-awesome.min.css	(from http://gtbucks.best/)
19:31:11	121242/121242	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202020%2014:29:10%20GMT	http://gtbucks.best/images/bootstrap.min.css	C:/My%20Web%20Sites/vbucks/gtbucks.best/images/bootstrap.min.css	(from http://gtbucks.best/)
19:31:12	68796/68796	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202020%2014:29:12%20GMT	http://gtbucks.best/images/animate.css	C:/My%20Web%20Sites/vbucks/gtbucks.best/images/animate.css	(from http://gtbucks.best/)
19:31:12	13987/13987	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202020%2014:29:10%20GMT	http://gtbucks.best/images/sweetalert2.min.css	C:/My%20Web%20Sites/vbucks/gtbucks.best/images/sweetalert2.min.css	(from http://gtbucks.best/)
19:31:12	7946/7946	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202020%2014:29:12%20GMT	http://gtbucks.best/images/magnific-popup.css	C:/My%20Web%20Sites/vbucks/gtbucks.best/images/magnific-popup.css	(from http://gtbucks.best/)
19:31:12	4250/4250	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202020%2014:29:12%20GMT	http://gtbucks.best/images/fancyselect.css	C:/My%20Web%20Sites/vbucks/gtbucks.best/images/fancyselect.css	(from http://gtbucks.best/)
19:31:13	49903/49903	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202020%2014:29:12%20GMT	http://gtbucks.best/images/style.css	C:/My%20Web%20Sites/vbucks/gtbucks.best/images/style.css	(from http://gtbucks.best/)
19:31:14	3634/3634	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Mar%202020%2014:29:10%20GMT	http://gtbucks.best/images/V-bucks.png	C:/My%20Web%20Sites/vbucks/gtbucks.best/images/V-bucks.png	(from http://gtbucks.best/)
